mfcc_1,mfcc_2,mfcc_3,mfcc_4,mfcc_5,mfcc_6,mfcc_7,mfcc_8,mfcc_9,mfcc_10,mfcc_11,mfcc_12,label,mfcc_13
-566.9641723632812,93.22382354736328,-12.903730392456056,-1.886694073677063,-5.6423115730285645,-11.275890350341797,4.557010173797607,0.9793499112129213,-14.132587432861328,-9.15635585784912,-6.065807819366455,-11.815648078918455,-6.713069915771484,
-538.5123901367188,86.10037231445312,-17.458864212036133,-9.955921173095703,-9.405153274536133,-8.035759925842285,2.680769920349121,3.520005702972412,-12.046732902526855,-8.686521530151367,-5.073322772979736,-8.643549919128418,-4.8718438148498535,
-571.7442016601562,93.2776107788086,-8.991927146911621,-3.670778274536133,-8.68765640258789,-9.74435329437256,3.3392558097839355,1.252814769744873,-14.737947463989258,-7.5184645652771,-7.971975326538086,-9.170062065124512,-5.657299995422363,
-583.8545532226562,96.03445434570312,-17.763565063476562,-10.965357780456545,-3.022966384887696,-11.30484104156494,-2.242262601852417,2.025914430618286,-10.953181266784668,-5.565777778625488,-7.7266130447387695,-8.163764953613281,-8.518095970153809,
-489.618408203125,72.1875,-14.174771308898926,-4.2382354736328125,-1.6642833948135376,-9.408239364624023,-2.776766300201416,2.634493112564087,-0.3706865906715393,-1.5705571174621582,-8.0413236618042,-8.315131187438965,-10.971671104431152,
-556.4722900390625,102.19620513916016,-10.767395973205566,-5.4651079177856445,-5.131188869476318,-6.495540142059326,-2.49002742767334,5.621847152709961,-9.896992683410645,-9.32076358795166,-13.717737197875977,-13.039499282836914,-17.599884033203125,
-566.9641723632812,93.22382354736328,-12.903730392456056,-1.886694073677063,-5.6423115730285645,-11.275890350341797,4.557010173797607,0.9793499112129213,-14.132587432861328,-9.15635585784912,-6.065807819366455,-11.815648078918455,-6.713069915771484,
-538.5123901367188,86.10037231445312,-17.458864212036133,-9.955921173095703,-9.405153274536133,-8.035759925842285,2.680769920349121,3.520005702972412,-12.046732902526855,-8.686521530151367,-5.073322772979736,-8.643549919128418,-4.8718438148498535,
-571.7442016601562,93.2776107788086,-8.991927146911621,-3.670778274536133,-8.68765640258789,-9.74435329437256,3.3392558097839355,1.252814769744873,-14.737947463989258,-7.5184645652771,-7.971975326538086,-9.170062065124512,-5.657299995422363,
-583.8545532226562,96.03445434570312,-17.763565063476562,-10.965357780456545,-3.022966384887696,-11.30484104156494,-2.242262601852417,2.025914430618286,-10.953181266784668,-5.565777778625488,-7.7266130447387695,-8.163764953613281,-8.518095970153809,
