mfcc_1,mfcc_2,mfcc_3,mfcc_4,mfcc_5,mfcc_6,mfcc_7,mfcc_8,mfcc_9,mfcc_10,mfcc_11,mfcc_12,mfcc_13,label
-330.28778076171875,71.26873016357422,-3.3042123317718506,24.63663101196289,-6.697043418884277,-8.563797950744629,-11.961878776550291,0.0490843094885349,-6.615994930267334,1.0370036363601685,-6.780818462371826,-5.525290012359619,-8.425493240356445,0
-569.5795288085938,50.80908584594727,-2.2868497371673584,20.65343475341797,-19.092187881469727,-7.805105209350586,-3.251152276992798,-4.173111915588379,-7.166264057159424,-6.323086261749268,-13.849600791931152,-4.3249592781066895,-7.458860874176025,0
-563.1383056640625,61.52878952026367,-8.891891479492188,19.09233665466309,-16.24098014831543,-7.547321319580078,-2.47679090499878,-6.153903007507324,-9.57020092010498,-5.651717662811279,-11.589953422546388,-1.4075260162353516,-7.370222091674805,0
-546.9693603515625,48.40243148803711,-3.58691954612732,33.41405487060547,-10.90658950805664,-6.376053810119629,-5.135559558868408,-9.698052406311035,-15.452539443969728,-6.091414928436279,-16.941268920898438,-1.9867568016052248,-11.804523468017578,0
-591.221435546875,54.58911895751953,-9.222352027893066,25.978191375732425,-11.747150421142578,-11.194583892822266,-5.443976879119873,-4.706627368927002,-7.784499168395996,-4.335421562194824,-5.387549877166748,0.4898978471755981,-8.482321739196777,0
-277.36102294921875,77.25247192382812,-25.236347198486328,4.707627773284912,-5.899057865142822,-6.255593299865723,-6.175631999969482,-22.33818626403809,-2.580721378326416,-4.439265251159668,-9.99470043182373,-6.842275142669678,0.1041129007935524,0
-590.7645874023438,54.06791305541992,22.926916122436523,8.549894332885742,-14.343422889709473,3.104879856109619,-15.161100387573242,4.050294876098633,-8.761496543884277,-6.29692268371582,-12.017000198364258,-5.51485013961792,-4.025178909301758,0
-577.0045166015625,49.28489685058594,18.77391815185547,12.457568168640137,-12.706902503967283,3.407871961593628,-16.73634147644043,4.257688522338867,-6.464148998260498,-7.378556728363037,-9.972726821899414,-3.5938267707824707,-5.19957447052002,0
-564.0222778320312,37.03851318359375,15.151164054870604,28.333044052124023,-25.39966011047364,6.607880115509033,-14.539732933044434,4.422606468200684,-10.17990016937256,-5.573231220245361,-15.746009826660156,-1.4293739795684814,-7.830003261566162,0
-557.38916015625,25.09683609008789,22.578577041625977,31.83693122863769,-21.4091911315918,6.562333106994629,-15.478937149047852,0.3064529299736023,-15.5936279296875,-4.502543449401856,-13.046883583068848,-1.958786964416504,-6.001183032989502,0
-338.9454650878906,125.9068603515625,-21.07706069946289,14.58803367614746,2.4083893299102783,-10.205320358276367,10.412063598632812,-10.616076469421388,-11.27974796295166,-7.839700698852539,-17.18190574645996,-1.623926281929016,-2.0282554626464844,0
